ListingID,City,Locality,PropertyType,BHK,Bathrooms,Balconies,Furnishing,SuperBuiltUpArea_sqft,BuiltUpArea_sqft,CarpetArea_sqft,Floor,TotalFloors,Parking,BuildingType,YearBuilt,AgeYears,Facing,AmenitiesCount,IsRERARegistered,RERAID,Latitude,Longitude,Price_INR
HP01139,Bengaluru,,Villa,3,3.0,2.0,Semi-Furnished,1576,1299,1089,0,1,Covered,Bungalow,2018.0,7,South-East,3,True,BEN-RERA-9928-63,12.877154,77.656243,17770000
HP01630,Kolkata,Rajarhat,Apartment,1,2.0,1.0,Unfurnished,1098,870,771,4,6,Basement,Mid Rise,2010.0,15,North-West,9,True,KOL-RERA-6820-36,22.584035,88.440364,7130000
HP01608,Kolkata,Salt Lake,Apartment,1,2.0,3.0,Unfurnished,863,710,611,3,20,Open,High Rise,2006.0,19,South,6,True,KOL-RERA-5304-84,22.535687,88.416707,5920000
HP01979,MMR,Goregaon East,Apartment,2,3.0,,Furnished,1135,952,817,28,29,Open,High Rise,2025.0,0,North-East,7,False,,,72.87779,19140000
HP01399,Hyderabad,Madhapur,Apartment,3,4.0,1.0,Semi-Furnished,2662,2176,1778,2,2,Open,Standalone Building,2010.0,15,North,6,True,HYD-RERA-7537-95,17.444963,78.43143,20300000
HP00219,Ahmedabad,Thaltej,Apartment,2,3.0,2.0,Semi-Furnished,1814,1533,1284,7,27,Covered,High Rise,2004.0,21,South-West,7,True,AHM-RERA-1887-96,23.063364,72.593854,9230000
HP02088,Bengaluru,Electronic City,Row House,3,4.0,2.0,Furnished,1722,1298,1095,0,3,Covered,Bungalow,2014.0,11,South,7,True,BEN-RERA-8454-46,12.948053,77.785061,14890000
HP00253,Pune,Viman Nagar,Studio,0,1.0,0.0,Unfurnished,635,522,452,5,6,Open,Mid Rise,2005.0,20,West,7,True,PUN-RERA-9565-50,18.636941,73.790852,5020000
HP01279,Bengaluru,Marathahalli,Apartment,2,2.0,1.0,Furnished,1156,980,861,3,23,Open,High Rise,2008.0,17,South-West,9,False,,13.059846,77.504407,10070000
HP00644,Hyderabad,Gachibowli,Apartment,3,3.0,2.0,Semi-Furnished,1995,1601,1437,3,8,Covered,Gated Community,2024.0,1,East,9,True,HYD-RERA-1653-55,17.313023,78.374859,16660000
HP01180,MMR,Andheri West,Apartment,4,4.0,2.0,Unfurnished,2651,1964,1621,4,9,Open,Gated Community,2017.0,8,South-East,9,True,MMR-RERA-2137-45,19.040458,72.851881,40430000
HP01404,Kolkata,Jadavpur,Row House,2,3.0,1.0,Furnished,1182,933,745,1,2,Open,Low Rise,2003.0,22,South-East,8,True,KOL-RERA-6409-89,22.512783,88.469603,9870000
HP01615,Chennai,T Nagar,Apartment,2,2.0,2.0,Unfurnished,1483,1163,1029,2,4,Covered,Standalone Building,2008.0,17,South-West,7,False,,13.125341,80.284559,12320000
HP00701,MMR,Vile Parle,Apartment,1,1.0,1.0,Furnished,1005,827,715,2,12,Covered,Gated Community,2025.0,0,South-West,5,False,,19.119149,72.929442,15650000
HP02087,Hyderabad,Madhapur,Apartment,2,3.0,2.0,Unfurnished,1258,1066,919,2,7,Covered,Mid Rise,2017.0,8,West,6,True,HYD-RERA-6763-48,17.476043,78.556034,9380000
HP01629,MMR,Bandra West,Studio,0,2.0,1.0,,493,367,321,1,2,Open,Standalone Building,2018.0,7,South-East,7,True,MMR-RERA-7211-45,19.200804,72.916385,7160000
HP01785,Delhi NCR,Gurugram-DLF Phase 3,Row House,3,4.0,2.0,Semi-Furnished,1885,1466,1223,0,2,Open,Bungalow,1999.0,26,South-West,7,False,,28.587898,77.444816,15280000
HP02267,Ahmedabad,Maninagar,Apartment,3,4.0,1.0,Unfurnished,2136,1711,1501,22,32,Covered,High Rise,2018.0,7,West,6,True,AHM-RERA-9817-71,23.016218,72.64772,12360000
HP01724,Pune,Aundh,Apartment,2,3.0,2.0,Unfurnished,1444,1094,982,6,8,Basement,Mid Rise,2021.0,4,East,6,True,PUN-RERA-1282-21,18.508847,73.83088,11850000
HP00597,Delhi NCR,Gurugram-Sector 56,Villa,3,4.0,1.0,Unfurnished,2396,1863,1495,12,12,Open,Gated Community,2011.0,14,North-East,10,True,DEL-RERA-3073-45,28.322758,76.932716,22370000
