iter	RMSE
0	0.5074424318
1	0.4899792993
2	0.4736698788
3	0.4585723508
4	0.4444462935
5	0.4308980175
6	0.4185840951
7	0.4070085235
8	0.3954484007
9	0.3844871902
10	0.3740269799
11	0.3641297651
12	0.3544256614
13	0.3457865276
14	0.3376272389
15	0.3300431917
16	0.3227582288
17	0.3162710669
18	0.3095109336
19	0.3033767581
20	0.2975579288
21	0.2919377449
22	0.2863352246
23	0.2810488652
24	0.276798685
25	0.2722646904
26	0.2674777013
27	0.2632943197
28	0.2589005636
29	0.2552790956
30	0.2516074723
31	0.2485467254
32	0.2452493758
33	0.2418320711
34	0.239003665
35	0.2363186122
36	0.233994746
37	0.2316113755
38	0.2294620679
39	0.2273482192
40	0.2252218868
41	0.223376036
42	0.2210348367
43	0.2188386396
44	0.217196084
45	0.2151972619
46	0.2137061544
47	0.2123465677
48	0.2109697431
49	0.2092630419
50	0.2079165216
51	0.2067127294
52	0.2051474189
53	0.2040295039
54	0.2027796197
55	0.201814659
56	0.200797059
57	0.1999930685
58	0.1990978263
59	0.1983864061
60	0.1976378634
61	0.1967298203
62	0.1958953014
63	0.1952338197
64	0.1945844113
65	0.1938168999
66	0.1932087992
67	0.1926221178
68	0.1918595238
69	0.1912363107
70	0.1907757728
71	0.1902056439
72	0.1896104564
73	0.1890484544
74	0.188583787
75	0.1877479359
76	0.1868441603
77	0.1864384727
78	0.1860502805
79	0.1856310171
80	0.1852380397
81	0.1845607721
82	0.1841281875
83	0.1837192508
84	0.1834113533
85	0.1829460322
86	0.1826134575
87	0.182280159
88	0.181849069
89	0.181514243
90	0.1809071789
91	0.18053319
92	0.1801653548
93	0.1797704022
94	0.1793320172
95	0.1786895819
96	0.1783896696
97	0.1780996021
98	0.1776456881
99	0.1773319589
100	0.1770596604
101	0.176744996
102	0.1765181105
103	0.1760960706
104	0.1759110909
105	0.1756759157
106	0.1753997662
107	0.1751791464
108	0.174965501
109	0.1747722964
110	0.1745482546
111	0.1743864848
112	0.1741737568
113	0.1737924545
114	0.1734982121
115	0.1731995503
116	0.1728838291
117	0.1726568225
118	0.1724747435
119	0.1722199435
120	0.1720637083
121	0.1718697459
122	0.1716900145
123	0.1713188601
124	0.1711523864
125	0.171010567
126	0.1708676209
127	0.1706066948
128	0.1704740633
129	0.1703038437
130	0.1699755504
131	0.1696834688
132	0.1695564091
133	0.1692583128
134	0.1690697965
135	0.1687131372
136	0.1685552773
137	0.1684117283
138	0.1681985227
139	0.1680556072
140	0.1679399511
141	0.1678014361
142	0.1675990339
143	0.167327701
144	0.1672465556
145	0.1671591744
146	0.1670611814
147	0.1669822847
148	0.166861235
149	0.1665139655
150	0.1661588194
151	0.1659202233
152	0.1658260459
153	0.1656330226
154	0.1655357612
155	0.1654487358
156	0.165196037
157	0.1649580857
158	0.1647979889
159	0.1646484462
160	0.1644136489
161	0.1643263141
162	0.1641641014
163	0.1640304239
164	0.1638210838
165	0.1637356719
166	0.1635274484
167	0.1633420916
168	0.1631813152
169	0.1630340068
170	0.1628364053
171	0.1626684966
172	0.1625541985
173	0.1624110775
174	0.1622790983
175	0.1621041772
176	0.1620285285
177	0.1619365989
178	0.1617189037
179	0.1615773259
180	0.1614199928
181	0.1613318983
182	0.1612313366
183	0.16109312
184	0.1609392053
185	0.1608080124
186	0.1607102797
187	0.1605654306
188	0.1604333186
189	0.1602461569
190	0.1601212172
191	0.1599325883
192	0.159731882
193	0.1596865605
194	0.1594995475
195	0.1593801807
196	0.1592480855
197	0.1591734092
198	0.1590746132
199	0.158924361
200	0.1588348766
201	0.1587638341
202	0.1586827733
203	0.1585209796
204	0.158403078
205	0.1583255205
206	0.158193102
207	0.1580910467
208	0.157920853
209	0.1577871834
210	0.1576008487
211	0.1575218051
212	0.1574235119
213	0.1573527201
214	0.1571618403
215	0.1570534411
216	0.1568355136
217	0.1567341588
218	0.1566237399
219	0.1565118922
220	0.1563419233
221	0.1562058228
222	0.1560878
223	0.1559264081
224	0.155828487
225	0.1557435164
226	0.1556556391
227	0.155578357
228	0.1554941166
229	0.1553676857
230	0.1552736459
231	0.1551972786
232	0.1551161531
233	0.1549750357
234	0.1548515312
235	0.1547284226
236	0.1545976292
237	0.1545329355
238	0.1544558657
239	0.154346885
240	0.1542533289
241	0.1541292826
242	0.1540636629
243	0.1539926265
244	0.1538446931
245	0.1537431951
246	0.1536655929
247	0.153555641
248	0.1534595768
249	0.1533203726
250	0.1532083272
251	0.1531262497
252	0.1530702973
253	0.152955678
254	0.1528493039
255	0.1527502472
256	0.1526594255
257	0.1525927841
258	0.1524981893
259	0.152444586
260	0.1523511839
261	0.1522555443
262	0.1521883555
263	0.1521260208
264	0.1520475063
265	0.1519465486
266	0.1518170899
267	0.1517251627
268	0.1516639527
269	0.1516004218
270	0.1515137591
271	0.1514216484
272	0.1513572149
273	0.1512888735
274	0.1512062206
275	0.1511685108
276	0.1511197181
277	0.1510389847
278	0.1509575875
279	0.1508864334
280	0.1508121785
281	0.1507116279
282	0.1506476696
283	0.1505774585
284	0.1504669515
285	0.1503955124
286	0.1502877478
287	0.150173931
288	0.1500994598
289	0.1500333463
290	0.1499801824
291	0.1499271548
292	0.1498790641
293	0.1498083573
294	0.1497370032
295	0.1496496515
296	0.1495472212
297	0.1494703442
298	0.1494151424
299	0.1493538607
300	0.1493019475
301	0.1492245081
302	0.1491679628
303	0.1491166158
304	0.1490125446
305	0.1489207586
306	0.1488611199
307	0.1488061164
308	0.1487342903
309	0.1486678226
310	0.1486049814
311	0.148535019
312	0.148446418
313	0.1483567017
314	0.1482915001
315	0.1481811717
316	0.148095289
317	0.1479975098
318	0.1479491555
319	0.1478784727
320	0.1478240621
321	0.1477752494
322	0.1477028899
323	0.1476623564
324	0.1475595562
325	0.1474831506
326	0.1474200127
327	0.147305713
328	0.1472588417
329	0.1472133418
330	0.1471416958
331	0.1470678678
332	0.1469897237
333	0.146914933
334	0.1468417571
335	0.1467504311
336	0.1466972045
337	0.1466514304
338	0.1465274307
339	0.1464642783
340	0.1464301038
341	0.1463312506
342	0.1462528241
343	0.1461711019
344	0.1460949772
345	0.1459839718
346	0.1459387391
347	0.1458497023
348	0.1458044482
349	0.1457106585
350	0.1456420653
351	0.1455961004
352	0.145552265
353	0.1455029783
354	0.1454290385
355	0.1453717099
356	0.1453197869
357	0.1452517069
358	0.1452036354
359	0.1451344618
360	0.1450364873
361	0.1449772497
362	0.144919079
363	0.1448752178
364	0.1448078989
365	0.1447220702
366	0.1446552186
367	0.1445992083
368	0.1445456721
369	0.1444832498
370	0.1444192154
371	0.1443770502
372	0.1443059492
373	0.1442462432
374	0.1441847573
375	0.14414161
376	0.1440596944
377	0.1440024264
378	0.1439349706
379	0.1438793831
380	0.143830993
381	0.1437624012
382	0.1436944091
383	0.1436552972
384	0.1436001285
385	0.1435451087
386	0.1434912881
387	0.1434209012
388	0.1433817692
389	0.1432916347
390	0.1432162628
391	0.1431690613
392	0.1431271638
393	0.1430880338
394	0.1430246721
395	0.1429583015
396	0.1429053504
397	0.1428717745
398	0.1428208157
399	0.1427631505
400	0.1427100922
401	0.1426639486
402	0.1425976137
403	0.1425261098
404	0.1424874121
405	0.1424340471
406	0.142379007
407	0.1423049469
408	0.142238525
409	0.142195416
410	0.1421437525
