iter	Passed	Remaining
0	4	2118
1	8	2028
2	11	1958
3	14	1826
4	18	1789
5	21	1733
6	24	1728
7	28	1733
8	30	1689
9	34	1700
10	38	1689
11	41	1684
12	44	1664
13	47	1660
14	50	1648
15	54	1643
16	57	1642
17	61	1634
18	64	1622
19	66	1604
20	70	1604
21	74	1607
22	76	1596
23	80	1588
24	82	1576
25	86	1574
26	89	1570
27	92	1562
28	96	1560
29	98	1549
30	102	1544
31	105	1538
32	108	1530
33	111	1523
34	113	1513
35	116	1504
36	120	1504
37	123	1499
38	126	1490
39	128	1482
40	131	1475
41	135	1475
42	138	1470
43	141	1463
44	144	1458
45	147	1451
46	149	1444
47	152	1440
48	155	1433
49	158	1427
50	161	1421
51	164	1415
52	167	1412
53	170	1406
54	172	1399
55	175	1393
56	178	1389
57	181	1386
58	184	1381
59	187	1376
60	190	1369
61	193	1363
62	195	1359
63	199	1356
64	202	1353
65	205	1348
66	208	1344
67	210	1338
68	214	1336
69	217	1334
70	220	1329
71	222	1324
72	225	1319
73	228	1316
74	231	1314
75	234	1310
76	237	1307
77	240	1302
78	243	1297
79	246	1292
80	249	1289
81	251	1284
82	254	1279
83	258	1278
84	260	1273
85	264	1270
86	266	1266
87	269	1262
88	272	1258
89	275	1253
90	277	1249
91	280	1245
92	283	1241
93	286	1236
94	289	1232
95	292	1229
96	295	1226
97	298	1222
98	300	1218
99	303	1214
100	306	1211
101	309	1207
102	312	1204
103	315	1200
104	318	1198
105	321	1195
106	324	1191
107	327	1188
108	330	1184
109	333	1181
110	336	1179
111	339	1176
112	344	1178
113	347	1176
114	350	1173
115	353	1169
116	356	1166
117	359	1163
118	363	1163
119	367	1162
120	370	1160
121	373	1157
122	377	1157
123	380	1154
124	383	1151
125	386	1148
126	390	1145
127	394	1146
128	397	1143
129	400	1140
130	403	1136
131	408	1138
132	411	1134
133	414	1131
134	417	1128
135	420	1125
136	423	1122
137	426	1119
138	429	1115
139	432	1111
140	435	1107
141	437	1104
142	441	1101
143	443	1097
144	446	1093
145	449	1089
146	451	1084
147	455	1082
148	458	1078
149	460	1075
150	463	1072
151	466	1068
152	469	1065
153	472	1061
154	475	1058
155	477	1054
156	480	1050
157	483	1046
158	486	1044
159	489	1040
160	492	1037
161	495	1033
162	498	1030
163	501	1026
164	504	1023
165	506	1019
166	509	1016
167	512	1013
168	515	1009
169	518	1006
170	521	1002
171	524	999
172	526	995
173	529	992
174	532	988
175	535	985
176	538	981
177	540	978
178	543	974
179	546	971
180	549	967
181	551	964
182	554	961
183	557	957
184	560	954
185	563	950
186	565	947
187	568	944
188	571	940
189	574	937
190	577	933
191	579	930
192	583	927
193	585	924
194	588	921
195	591	917
196	594	914
197	597	910
198	600	907
199	602	904
200	605	900
201	608	897
202	611	893
203	613	890
204	616	887
205	619	884
206	622	880
207	624	877
208	627	873
209	630	871
210	633	868
211	636	864
212	639	861
213	643	859
214	646	857
215	650	854
216	653	852
217	656	849
218	659	845
219	663	844
220	666	841
221	670	839
222	673	836
223	676	833
224	680	831
225	684	829
226	687	826
227	691	825
228	696	823
229	699	821
230	702	818
231	705	814
232	708	811
233	712	810
234	715	806
235	718	803
236	721	800
237	724	798
238	728	795
239	731	792
240	734	789
241	738	787
242	741	784
243	745	782
244	748	779
245	752	776
246	755	773
247	758	770
248	761	767
249	764	764
250	767	761
251	770	758
252	773	755
253	776	752
254	779	749
255	782	745
256	785	742
257	787	738
258	794	739
259	798	737
260	802	734
261	806	732
262	810	730
263	813	726
264	816	723
265	818	720
266	821	717
267	824	713
268	827	710
269	830	707
270	832	703
271	836	700
272	839	698
273	842	694
274	845	691
275	848	688
276	851	685
277	854	682
278	856	678
279	859	675
280	862	672
281	865	669
282	868	665
283	871	662
284	874	659
285	876	656
286	880	653
287	883	650
288	885	646
289	888	643
290	891	640
291	894	637
292	897	633
293	900	630
294	902	627
295	905	624
296	908	621
297	911	618
298	914	614
299	917	611
300	920	608
301	923	605
302	925	601
303	928	598
304	933	596
305	936	593
306	940	591
307	943	588
308	946	584
309	949	581
310	953	579
311	957	576
312	960	573
313	963	570
314	966	567
315	970	565
316	973	561
317	976	559
318	979	555
319	983	553
320	986	550
321	990	547
322	993	544
323	996	541
324	999	538
325	1003	535
326	1006	532
327	1010	529
328	1013	526
329	1016	523
330	1020	520
331	1023	517
332	1026	514
333	1029	511
334	1034	509
335	1037	506
336	1040	503
337	1043	500
338	1046	497
339	1050	494
340	1052	490
341	1056	488
342	1059	484
343	1063	482
344	1066	479
345	1069	476
346	1072	472
347	1075	469
348	1078	466
349	1081	463
350	1084	460
351	1087	457
352	1089	453
353	1092	450
354	1095	447
355	1098	444
356	1102	441
357	1104	438
358	1107	434
359	1110	431
360	1113	428
361	1116	425
362	1118	422
363	1121	419
364	1124	415
365	1127	412
366	1130	409
367	1132	406
368	1135	403
369	1138	399
370	1140	396
371	1143	393
372	1146	390
373	1149	387
374	1152	384
375	1154	380
376	1157	377
377	1160	374
378	1163	371
379	1166	368
380	1169	365
381	1171	361
382	1174	358
383	1177	355
384	1180	352
385	1183	349
386	1186	346
387	1189	343
388	1192	340
389	1195	337
390	1198	334
391	1200	330
392	1203	327
393	1206	324
394	1209	321
395	1212	318
396	1215	315
397	1217	312
398	1220	308
399	1224	306
400	1228	303
401	1231	300
402	1234	297
403	1238	294
404	1241	291
405	1245	288
406	1248	285
407	1252	282
408	1255	279
409	1259	276
410	1262	273
411	1266	270
412	1269	267
413	1273	264
414	1276	261
415	1279	258
416	1282	255
417	1287	252
418	1291	249
419	1294	246
420	1297	243
421	1300	240
422	1305	237
423	1308	234
424	1311	231
425	1314	228
426	1316	225
427	1320	222
428	1323	218
429	1326	215
430	1328	212
431	1331	209
432	1334	206
433	1337	203
434	1340	200
435	1342	197
436	1345	193
437	1348	190
438	1351	187
439	1354	184
440	1357	181
441	1360	178
442	1363	175
443	1366	172
444	1369	169
445	1372	166
446	1374	163
447	1377	159
448	1380	156
449	1383	153
450	1386	150
451	1389	147
452	1392	144
453	1394	141
454	1397	138
455	1401	135
456	1403	132
457	1406	128
458	1409	125
459	1412	122
460	1415	119
461	1418	116
462	1421	113
463	1423	110
464	1426	107
465	1429	104
466	1432	101
467	1435	98
468	1438	95
469	1441	91
470	1444	88
471	1447	85
472	1450	82
473	1453	79
474	1456	76
475	1460	73
476	1463	70
477	1467	67
478	1470	64
479	1474	61
480	1477	58
481	1481	55
482	1485	52
483	1488	49
484	1492	46
