Feature,Mean_SHAP
Lattitude,0.2404669094828175
living area,0.14623535314262556
grade of the house,0.09088041734574806
living_area_renov,0.051964734050873845
Longitude,0.03808293304851968
number of views,0.027624810218234763
condition of the house,0.027418095061787367
Postal Code,0.02346408633374752
lot area,0.02225641139177423
Property_Age,0.020700570687835585
Basement_Percentage,0.017572242760722192
lot_area_renov,0.015480561994780285
number of bathrooms,0.013123502419800114
number of floors,0.0062199670662900965
Renovated,0.006176970966897006
waterfront present,0.0059946234024285195
number of bedrooms,0.0036658957927756686
Infrastructure_Score,0.0012270621925408564
Distance from the airport,0.0007379498532282087
Number of schools nearby,0.00011422079617714194
